Skill,Hard vs. Soft,
Accounting,hard,
Administrative Support,soft,
Apache Hadoop,hard,
Big Data,hard,
Budgeting,hard,
Building Effective Relationships,soft,
Business Development,soft,
Communication Skills,soft,
Computer Skills,hard,
Creativity,soft,
Customer Contact,soft,
Customer Service,soft,
Data Analysis,hard,
Data Entry,hard,
Data Mining,hard,
DNA,hard,
English,soft,
Experiments,hard,
History,soft,
JAVA,hard,
Leadership,soft,
Machine Learning,hard,
Management,soft,
Mathematics,hard,
Mathematics,hard,
Merchandising,soft,
Microsoft Excel,hard,
Microsoft Office,hard,
Microsoft Powerpoint,hard,
Microsoft Word,hard,
Multi-Tasking,soft,
Optimization,hard,
Oracle,hard,
Organizational Skills,soft,
Patient Care,soft,
Physical Demand,soft,
Planning,soft,
Presentation Skills,soft,
Problem Solving,soft,
Product Sales,soft,
Project Management,soft,
Proteins,hard,
Python,hard,
Quality Assurance and Control,hard,
R,hard,
Repair,hard,
Research,hard,
Retail Setting,soft,
Sales,soft,
SAS,hard,
Scanning,hard,
Scheduling,soft,
Simulation,hard,
Software Development,hard,
SPECT,hard,
SQL,hard,
Staff Management,soft,
Statistics,hard,
Supervisory Skills,soft,
Surgery,hard,
Teaching,soft,
Team Work/Collaboration,soft,
Team Work/Collaboration,soft,
Therapy,hard,
Time Management,soft,
Troubleshooting,soft,
Typing,soft,
VS,hard,
VTAM,hard,
Writing,soft,
,,
,,
,,
,,
,,
,,
,,
,,
